BL_ID,LICENSE_NUMBER,LICENSE_STATUS,LICENSE_TYPE_CODE,LECENSE_TYPE,BILLING_CYCLE,BILL_DATE,APPLICATION_DATE,ISSUED_DATE,EXPIRE_DATE,START_DATE,CHARGE_CODE,CHARGE_AMOUNT,QUANTITY,ONE_TIME,INACTIVATE_DATE,MISC
359,8465,I,1200,SERVICE GENERAL,GROS,5/25/2011,1/13/2011,1/13/2011,6/30/2012,1/13/2011,BASER,$25.00,0,A,8/4/2011,NO MAXIMUM FEE
36,7939,A,770,LICENSED GENERAL CONTRACTOR,PL,5/25/2012,9/16/2010,9/28/2010,6/30/2013,9/28/2010,770,$10.00,0,A,,
360,8467,A,1200,SERVICE GENERAL,GROS,1/13/2011,1/13/2011,,6/30/2011,1/13/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
360,8467,A,1200,SERVICE GENERAL,GROS,1/13/2011,1/13/2011,,6/30/2011,1/13/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
361,8468,A,240,BARBER SHOP/BEAUTY SALON,PL,5/25/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,240,$5.00,2,A,,
362,8469,I,240,BARBER SHOP/BEAUTY SALON,PL,5/25/2011,1/14/2011,1/14/2011,6/30/2012,1/14/2011,240,$5.00,2,A,4/4/2011,
362,8907,A,240,BARBER SHOP/BEAUTY SALON,PL,5/25/2012,,4/4/2011,6/30/2013,4/4/2011,240,$5.00,2,A,,
363,8470,A,1200,SERVICE GENERAL,GROS,9/20/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
363,8470,A,1200,SERVICE GENERAL,GROS,9/20/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
364,8471,I,1200,SERVICE GENERAL,GROS,5/25/2012,,1/14/2011,6/30/2013,1/14/2011,1200,$0.00,0,A,5/31/2012,NO MAXIMUM FEE
364,8471,I,1200,SERVICE GENERAL,GROS,5/25/2012,,1/14/2011,6/30/2013,1/14/2011,BASER,$25.00,0,A,5/31/2012,NO MAXIMUM FEE
365,8472,A,777,MECHANICAL CONTRACTOR,PL,5/25/2012,,1/14/2011,6/30/2013,1/14/2011,777,$50.00,0,A,,
366,8497,A,1200,SERVICE GENERAL,GROS,7/18/2012,,1/18/2011,6/30/2013,1/18/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
366,8497,A,1200,SERVICE GENERAL,GROS,7/18/2012,,1/18/2011,6/30/2013,1/18/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
367,8569,A,240,BARBER SHOP/BEAUTY SALON,PL,5/25/2012,1/31/2011,1/31/2011,6/30/2013,1/31/2011,240,$20.00,8,A,,
368,8474,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/14/2011,6/30/2013,1/14/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
368,8474,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/14/2011,6/30/2013,1/14/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
369,8475,A,1200,SERVICE GENERAL,GROS,6/19/2012,,1/14/2011,6/30/2013,1/14/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
369,8475,A,1200,SERVICE GENERAL,GROS,6/19/2012,,1/14/2011,6/30/2013,1/14/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
37,7941,A,771,ELECTRICIAN,PL,5/25/2012,9/17/2010,9/28/2010,6/30/2013,9/28/2010,771,$50.00,0,A,,
370,8476,A,2052,RESTAURANT 5+ SEATS,PL,5/25/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,2052,$42.50,0,A,,
371,8477,A,2052,RESTAURANT 5+ SEATS,PL,5/25/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,2052,$42.50,0,A,,
372,8478,A,2052,RESTAURANT 5+ SEATS,PL,5/25/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,2052,$42.50,0,A,,
374,8480,I,770,LICENSED GENERAL CONTRACTOR,PL,5/25/2012,1/14/2011,1/14/2011,6/30/2013,1/14/2011,770,$10.00,0,A,6/1/2012,
375,8482,A,1200,SERVICE GENERAL,GROS,7/3/2012,,1/14/2011,6/30/2013,1/14/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
375,8482,A,1200,SERVICE GENERAL,GROS,7/3/2012,,1/14/2011,6/30/2013,1/14/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
376,8484,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/18/2011,1/18/2011,6/30/2013,1/18/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
376,8484,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/18/2011,1/18/2011,6/30/2013,1/18/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
377,8486,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/18/2011,1/18/2011,6/30/2013,1/18/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
377,8486,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/18/2011,1/18/2011,6/30/2013,1/18/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
378,8489,A,770,LICENSED GENERAL CONTRACTOR,PL,5/25/2012,,1/18/2011,6/30/2013,1/18/2011,770,$10.00,0,A,,
379,8490,I,1000,EXEMPT,PL,5/25/2012,1/18/2011,6/7/2011,6/30/2013,1/18/2011,1000,$0.00,0,A,6/5/2012,
38,7942,A,1200,SERVICE GENERAL,GROS,5/25/2012,9/20/2010,9/28/2010,6/30/2013,9/28/2010,1200,$0.00,0,A,,NO MAXIMUM FEE
38,7942,A,1200,SERVICE GENERAL,GROS,5/25/2012,9/20/2010,9/28/2010,6/30/2013,9/28/2010,BASER,$25.00,0,A,,NO MAXIMUM FEE
